ticker,gics_sector,industry
MPW,Real Estate,REIT—Healthcare Facilities
MRK,Health Care,Drug Manufacturers—General
MRO,Energy,Oil & Gas E&P
MS,Financials,Capital Markets
MSCI,Financials,Financial Data & Stock Exchang
MSI,Information Technology,Communication Equipment
MTB,Financials,Banks-Regional
MTD,Health Care,Diagnostics & Research
MTDR,Energy,Oil & Gas E&P
MTH,Consumer Discretionary,Residential Construction
MTN,Consumer Discretionary,Resorts & Casinos
MTOR,Industrials,Auto Parts
MTW,Industrials,Farm & Heavy Construction Mach
MTZ,Industrials,Engineering & Construction
MUR,Energy,Oil & Gas E&P
MUSA,Consumer Discretionary,Specialty Retail
MWA,Industrials,Specialty Industrial Machinery
MX,Materials,Semiconductors
MXL,Information Technology,Semiconductors
NAV,Industrials,Farm & Heavy Construction Mach
NCLH,Consumer Discretionary,Travel Services
NCR,Information Technology,Information Technology Service
NEE,Utilities,Utilities—Regulated Electric
NEM,Materials,Gold
NEP,Utilities,Utilities—Renewable
NEWR,Information Technology,Software—Infrastructure
NI,Utilities,Utilities—Regulated Gas
NIO,Consumer Discretionary,Auto Manufacturers
NKE,Consumer Discretionary,Footwear & Accessories
NLSN,Industrials,Consulting Services
NLY,Financials,REIT—Mortgage
NOC,Industrials,Aerospace & Defense
NOK,Information Technology,Communication Equipment
NOV,Energy,Oil & Gas Equipment & Services
NOW,Information Technology,Software—Application
NPTN,Information Technology,Semiconductors
NRG,Utilities,Utilities—Independent Power Pr
NSC,Industrials,Railroads
NSP,Industrials,Staffing & Employment Services
NUE,Materials,Steel
NVR,Consumer Discretionary,Residential Construction
NVRO,Health Care,Medical Devices
NVS,Health Care,Drug Manufacturers—General
NVTA,Health Care,Diagnostics & Research
O,Real Estate,REIT—Retail
OAS,Energy,
OC,Industrials,Building Products & Equipment
OHI,Real Estate,REIT—Healthcare Facilities
OI,Materials,Packaging & Containers
OKE,Energy,Oil & Gas Midstream
OLN,Materials,Specialty Chemicals
OMC,Communication Services,Advertising Agencies
OMI,Health Care,Medical Distribution
ORCL,Information Technology,Software—Infrastructure
ORI,Financials,Insurance—Diversified
OSK,Industrials,Farm & Heavy Construction Mach
OUT,Real Estate,REIT—Specialty
OVV,Energy,Oil & Gas E&P
OXY,Energy,Oil & Gas E&P
PAG,Consumer Discretionary,Auto & Truck Dealerships
PAGP,Energy,Oil & Gas Midstream
PAGS,Information Technology,Software—Infrastructure
PAM,Utilities,Utilities—Regulated Electric
PANW,Information Technology,Software—Infrastructure
PAYC,Information Technology,Software—Application
PBF,Energy,Oil & Gas Refining & Marketing
PBR,Energy,Oil & Gas Integrated
PBR.A,Energy,Oil & Gas Integrated
PCG,Utilities,Utilities—Regulated Electric
PE,Energy,Oil & Gas E&P
PEB,Real Estate,REIT—Hotel & Motel
PEG,Utilities,Utilities—Diversified
PEN,Health Care,Medical Devices
PFE,Health Care,Drug Manufacturers—General
PFGC,Consumer Staples,Food Distribution
PG,Consumer Staples,Household & Personal Products
PGR,Financials,Insurance—Property & Casualty
PH,Industrials,Specialty Industrial Machinery
PHM,Consumer Discretionary,Residential Construction
PII,Consumer Discretionary,Recreational Vehicles
PINS,Communication Services,Internet Content & Information
PKG,Materials,Packaging & Containers
PKI,Health Care,Diagnostics & Research
PLD,Real Estate,REIT—Industrial
PLNT,Consumer Discretionary,Leisure
PLTR,Information Technology,Software—Infrastructure
PM,Consumer Staples,Tobacco
PNC,Financials,Banks-Regional
PNR,Industrials,Specialty Industrial Machinery
POST,Consumer Staples,Packaged Foods
PPG,Materials,Specialty Chemicals
PPL,Utilities,Utilities—Regulated Electric
PRGO,Health Care,Drug Manufacturers—Specialty &
PRU,Financials,Insurance—Life
PSA,Real Estate,REIT—Industrial
PSX,Energy,Oil & Gas Refining & Marketing
PVH,Consumer Discretionary,Apparel Manufacturing
PWR,Industrials,Engineering & Construction
PXD,Energy,Oil & Gas E&P
QD,Financials,Credit Services
QEP,Energy,Oil & Gas E&P
QSR,Consumer Discretionary,Restaurants
QTWO,Information Technology,Software—Application
R,Industrials,Rental & Leasing Services
RACE,Consumer Discretionary,Auto Manufacturers
RAD,Consumer Staples,Pharmaceutical Retailers
RCL,Consumer Discretionary,Travel Services
RDN,Financials,Insurance—Specialty
RDS.A,Energy,Oil & Gas Integrated
RDS.B,Energy,Oil & Gas Integrated
RE,Financials,Insurance—Reinsurance
RENN,Information Technology,Auto & Truck Dealerships
REXR,Real Estate,REIT—Industrial
RF,Financials,Banks-Regional
RFP,Materials,Paper & Paper Products
RGA,Financials,Insurance—Reinsurance
RH,Consumer Discretionary,Specialty Retail
RHI,Industrials,Staffing & Employment Services
RIG,Energy,Oil & Gas Drilling
RIO,Materials,Other Industrial Metals & Mini
RJF,Financials,Capital Markets
RL,Consumer Discretionary,Apparel Manufacturing
RLGY,Real Estate,Real Estate Services
RMAX,Real Estate,Real Estate Services
RMD,Health Care,Medical Instruments & Supplies
RNG,Information Technology,Software—Application
RNR,Financials,Insurance—Reinsurance
ROK,Industrials,Specialty Industrial Machinery
ROP,Industrials,Specialty Industrial Machinery
RPM,Materials,Specialty Chemicals
RRD,Industrials,Specialty Business Services
RS,Materials,Steel
RSG,Industrials,Waste Management
RTX,Industrials,Aerospace & Defense
SAH,Consumer Discretionary,Auto & Truck Dealerships
SAIL,Information Technology,Software—Infrastructure
SAM,Consumer Staples,Beverages—Brewers
SAN,Financials,Banks—Diversified
SAVE,Industrials,Airlines
SBH,Consumer Discretionary,Specialty Retail
SBS,Health Care,Utilities—Regulated Water
SCCO,Materials,Copper
SCHW,Financials,Capital Markets
SCI,Consumer Discretionary,Personal Services
SE,Information Technology,Electronic Gaming & Multimedia
SEAS,Consumer Discretionary,Leisure
SEE,Materials,Packaging & Containers
SHAK,Consumer Discretionary,Restaurants
SHOP,Information Technology,Software—Application
SHW,Materials,Specialty Chemicals
SIG,Consumer Discretionary,Luxury Goods
SIX,Consumer Discretionary,Leisure
SJM,Consumer Staples,Packaged Foods
SKM,Communication Services,Telecom Services
SKT,Real Estate,REIT—Retail
SLB,Energy,Oil & Gas Equipment & Services
SM,Energy,Oil & Gas E&P
SMAR,Information Technology,Software—Application
SMG,Materials,Agricultural Inputs
SNAP,Communication Services,Internet Content & Information
SNE,Information Technology,Consumer Electronics
SNOW,Information Technology,Software - Application
SNX,Information Technology,Information Technology Service
SO,Utilities,Utilities—Regulated Electric
SON,Materials,Packaging & Containers
SPB,Consumer Staples,Household & Personal Products
SPCE,Industrials,Aerospace & Defense
SPG,Real Estate,REIT—Retail
SPGI,Financials,Financial Data & Stock Exchang
SPOT,Communication Services,Internet Content & Information
SPR,Industrials,Aerospace & Defense
SQ,Information Technology,Software—Infrastructure
SRE,Utilities,Utilities—Diversified
ST,Industrials,Scientific & Technical Instrum
STAG,Real Estate,REIT—Industrial
STE,Health Care,Medical Instruments & Supplies
STOR,Real Estate,REIT—Diversified
STT,Financials,Asset Management
STZ,Consumer Staples,Beverages—Wineries & Distiller
SU,Energy,Oil & Gas Integrated
SUI,Real Estate,REIT—Residential
SUM,Materials,Building Materials
SUZ,Materials,Paper & Paper Products
SWK,Industrials,Tools & Accessories
SWN,Energy,Oil & Gas E&P
SXT,Materials,Specialty Chemicals
SYF,Financials,Credit Services
SYK,Health Care,Medical Devices
SYY,Consumer Staples,Food Distribution
T,Communication Services,Telecom Services
TAL,Consumer Discretionary,Education & Training Services
TAP,Consumer Staples,Beverages—Brewers
TDG,Industrials,Aerospace & Defense
TDOC,Health Care,Health Information Services
TEF,Communication Services,Telecom Services
TEO,Communication Services,Telecom Services
TEVA,Health Care,Drug Manufacturers—Specialty &
TFC,Financials,Banks-Regional
TFX,Health Care,Medical Instruments & Supplies
TGT,Consumer Discretionary,Discount Stores
THC,Health Care,Medical Care Facilities
THG,Financials,Insurance—Property & Casualty
THO,Consumer Discretionary,Recreational Vehicles
THS,Consumer Staples,Packaged Foods
TIF,Consumer Discretionary,Luxury Goods
TJX,Consumer Discretionary,Apparel Retail
TM,Consumer Discretionary,Auto Manufacturers
TME,Communication Services,Internet Content & Information
TMHC,Consumer Discretionary,Residential Construction
TMO,Health Care,Diagnostics & Research
TMX,Consumer Discretionary,Personal Services
TOL,Consumer Discretionary,Residential Construction
TPC,Industrials,Engineering & Construction
TPH,Consumer Discretionary,Residential Construction
TPR,Consumer Discretionary,Luxury Goods
TPX,Consumer Discretionary,"Furnishings, Fixtures & Applia"
TREX,Industrials,Building Products & Equipment
TRGP,Energy,Oil & Gas Midstream
TRU,Industrials,Consulting Services
TRV,Financials,Insurance—Property & Casualty
TRXC,Health Care,Medical Devices
TSN,Consumer Staples,Farm Products
TT,Industrials,Specialty Industrial Machinery
TTM,Consumer Discretionary,Auto Manufacturers
TV,Materials,Broadcasting
TWLO,Information Technology,Internet Content & Information
TWTR,Communication Services,Internet Content & Information
TX,Materials,Steel
TXT,Industrials,Aerospace & Defense
U,Information Technology,Software - Application
UA,Consumer Discretionary,Apparel Manufacturing
UBER,Industrials,Software—Application
UDR,Real Estate,REIT—Residential
UGI,Utilities,Utilities—Regulated Gas
UHS,Health Care,Medical Care Facilities
UNFI,Consumer Staples,Food Distribution
UNH,Health Care,Healthcare Plans
UNM,Financials,Insurance—Life
UNP,Industrials,Railroads
UPS,Industrials,Integrated Freight & Logistics
URI,Industrials,Rental & Leasing Services
USB,Financials,Banks-Regional
USFD,Consumer Staples,Food Distribution
V,Information Technology,Credit Services
VAC,Consumer Discretionary,Resorts & Casinos
VALE,Materials,Other Industrial Metals & Mini
VAR,Health Care,Medical Instruments & Supplies
VEEV,Health Care,Health Information Services
VFC,Consumer Discretionary,Apparel Manufacturing
VIAC,Communication Services,Entertainment
VIPS,Consumer Discretionary,Internet Retail
VLO,Energy,Oil & Gas Refining & Marketing
VMC,Materials,Building Materials
VMW,Information Technology,Software—Infrastructure
VNO,Real Estate,REIT—Office
VST,Utilities,Utilities—Independent Power Pr
VSTO,Consumer Discretionary,Leisure
VTR,Real Estate,REIT—Healthcare Facilities
VZ,Communication Services,Telecom Services
W,Consumer Discretionary,Internet Retail
WAB,Industrials,Railroads
WAT,Health Care,Diagnostics & Research
WBT,Industrials,Specialty Industrial Machinery
WCC,Industrials,Industrial Distribution
WEC,Utilities,Utilities—Regulated Electric
WELL,Real Estate,REIT—Healthcare Facilities
WFC,Financials,Banks—Diversified
WGO,Consumer Discretionary,Recreational Vehicles
WHR,Consumer Discretionary,"Furnishings, Fixtures & Applia"
WLK,Materials,Specialty Chemicals
WLL,Energy,Oil & Gas E&P
WM,Industrials,Waste Management
WMB,Energy,Oil & Gas Midstream
WMT,Consumer Staples,Discount Stores
WORK,Information Technology,Software—Application
WPC,Real Estate,REIT—Diversified
WRK,Materials,Packaging & Containers
WSM,Consumer Discretionary,Specialty Retail
WSO,Industrials,Industrial Distribution
WST,Health Care,Medical Instruments & Supplies
WU,Information Technology,Credit Services
WY,Real Estate,REIT—Specialty
WYND,Consumer Discretionary,Lodging
X,Materials,Steel
XEC,Energy,Oil & Gas E&P
XOM,Energy,Oil & Gas Integrated
XPO,Industrials,Integrated Freight & Logistics
XRX,Information Technology,Information Technology Service
XXII,Consumer Staples,Drug Manufacturers—Specialty &
XYL,Industrials,Specialty Industrial Machinery
Y,Financials,Insurance—Property & Casualty
YELP,Communication Services,Internet Content & Information
YUM,Consumer Discretionary,Restaurants
YUMC,Consumer Discretionary,Restaurants
ZBH,Health Care,Medical Devices
ZEN,Information Technology,Software—Application
ZTO,Industrials,Integrated Freight & Logistics
ZTS,Health Care,Drug Manufacturers—Specialty &
